0.568 liter, pint
1000 liter, kilolitre
1000 millionen, billion
1. mai, labour day
200.000 betten, 200,000 beds
20 jahre lang, for the past twenty years
20 skiabfahrten, 20 ski-runs
30 tage vor der einfuhr, 30 days prior to entry
3 tage gnade, days of respite
5 prozent bei monatlicher abrechnung, monthly cash 5 per cent
6. jahrhundert, 6th century
aal, eel
aalglatt, slippery
aas, carrion
aasfresser, scavenger
abakus, abacus
abändern, alter
abändern, amend
abändernd, altering
abändern, modify
abänderung, alteration
abänderung, amendment
abänderung, modification
abänderungsantrag, amendment
abandon, abandonment
abandonerklärung, notice of abandonment
abandonieren, abandon the cargo
abandonieren, abandon the ship
abandonieren, to abandon the cargo
abandonieren, to abandon the ship
abandonnieren, abandon
abarbeiten, attention handling
abarbeitend, working out
abarbeitungszeit, processing time
abarten, varieties
abartig, abnormal
abartigkeit, kinkiness
abbau, cutback
abbau des personals, reduction in staff
abbau, dismantling
abbau einer warteschlange, dequeuing
abbauen, abolish
abbauen, dismantle
abbauend, retrenching
abbeißen, bite off
abbeißend, biting off
abbekommend, getting off
abbekommene, got off
abberufbar, recallable
abberufend, recalling
abberufene, recalled
abberufen, recall
abberufungen, recalls
abbestellen, countermand
abbestellen, counter-order
abbestellend, countermanding
abbestellt, countermanded
abbestellung, cancellation
abbestellung, counter-order
abbestellungen, countermands
abbettelnd, wheedling
abbetteln, wheedle
abbezahlen, pay off
abbiegen, bend off
abbiegend, bending off
abbiegen, turn
abbild, copy
abbildend, picturing
abbilden, figure
abbilden, image
abbilden, reproduce
abbild, image
abbildung, figure
abbildung, illustration
abbildung, picture
abbildung, portraiture
abbildung, reproduction
abbildungsfehler, aberration
abbildungsgröße, mapping value
abbildungsverzeichnis, illustration index
abbildungsverzeichnis, list of figures
abbildungsverzeichnis, table of figures
abbildungsverzeichnis, table of illustrations
abbindend, undoing
abblasend, cancelling
abblätternd, flaking
abblättern, peel off
abblättern, spall
abblenden, dim out
abblenden, dip
abblendend, screening off
abblendlicht, dim light
abblendschalter, dip switch
abblitzend, meeting with a rebuff
abblitzen, meet with a rebuff
abblockung, termination of an urban space
abbonementpreis, subscription rate
abbrausen, buzz off
abbrausend, buzzing off
abbrechen, abandon
abbrechen, cancel
abbrechend, aborting
abbrechen, truncate
abbrechung, abruption
abbremsend, slowing
abbremsen, slow down
abbremsung, retardation
abbrennen, burn down
abbrennend, burning down
abbringend, dissuading
abbringen, dissuade
abbröckelnd, crumbling
abbruch, abort
abbrucharbeiten, demolition works
abbruchbedingung, truncation condition
abbruch, break-off
abbruchcode, abort code
abbruch, demolition
abbruchgenehmigung, demolition permit
abbruchmakro, abort macro
abbruch, truncation
abbruchverbot, demolition prohibited
abbuchende, writing off
abbuchend, writig off
abbuchen, write off
abbuchungsverfahren, direct debiting
abbund, framing up a truss
abbundzeichen, assembly marks
abbürsten, brush off
abbürstend, brushing off
abdämmen, dam up
abdampfen, clear off
abdampfen, evaporate
abdampfen, steam off
abdampf, exhaust steam
abdampfschale, evaporation dish
abdampfschale, steam dispersal dish
abdanken, abdicate
abdankend, resigning
abdanken, resign
abdanker, abdicator
abdankung, abdication
abdankungen, resignations
abdankung, resignation
abdecken, clear the table
abdecken, cover
abdecken, cover up
abdeckend, uncovering
abdecken, mask
abdecken, unroof
abdecken, untile
abdeckmaske, mask
abdeckpapier, masking paper
abdeckplatte, cover plate
abdeckrahmen, masking frame
abdeckung, access cover
abdeckung, cover
abdeckung, mask
abdichten, caulk
abdichtend, caulking
abdichter, caulker
abdichtungen, sealings
abdichtung, sealing
abdrehend, turning off
abdrehen, switch off
abdrift, driftage
abdrosselnd, throttling
abdrosseln, throttle
abdrücke, imprints
abdrückend, squeezing off
abdrucke, printouts
abdruck, imprint
abdruck, printout
abdrucksrecht, right of reproduction
abdunkelungsvorrichtung, dimmer
abdunklung, dimout
abelsche gruppe, abelian group
abendandacht, evensong
abendblatt, daily evening paper
abendbrot essen, have tea
abendbrot, supper
abenddämmerung, dusk
abenddämmerungen, dusks
abende, evenings
abendessen, dinner
abendessen, supper
abend, eve
abend, evening
abendgarderobe, evening dress
abendgesellschaften, soirees
abendgesellschaft, evening party
abendglocke, curfew
abendglocken, curfews
abendglocke, vesper-bell
abendklasse, evening class
abendklassen, night classes
abendklassen, night school
abendkleider, evening dresses
abendkleid, evening dress
abendkleidung, evening dress
abendkurse, evening classes
abendkurs, evening class
abendkurs, evening course
abendländische, occidentally
abendländisch, occidental
abendland, occident
abendmahl, communion
abendmahl, holy communion
abendmahl nehmen, take the sacrament
abendmahl, sacrament
abendmahlskelch, communion cup
abendmahlswein, sacramental wine
abendmahl, the lord's supper
abendpost, evening mail
abendröte, afterglows
abendrot, sunset
abendschule, evening classes
abendschule, evening school
abendschule, night school
abendsonne, setting sun
abendstern, evening star
abendstern, vesper
abendunterricht, night classes
abendvorstellung, evening performance
abendzeitung, evening newspaper
abendzeitung, evening paper
abenteuer, adventure
abenteuergeschichte, adventure story
abenteuerleben, adventurous life
abenteuerlich, adventuresomely
abenteuerlich, adventurous
abenteuerliche, adventurously
abenteuerlichkeit, adventurousness
abenteuerlich, venturesome
abenteuerlustig, adventuresomely
abenteuerlust, spirit of adventure
abenteurer, adventurer
abenteurerin, adventuress
aberglaube, superstition
abergläubigkeit, superstitiousness
abergläubische, superstitiously
abergläubisch, superstitious
aberkannt, denied
aberkennend, denying
aberkennung, denial
abermalig, repeated
abermals, again
aberntend, harvesting
abfahrend, departing
abfahren, depart
abfahrende passagiere, departing passengers
abfahrende passagiere, leaving passengers
abfahren, leave
abfahren, sail
abfahren, sail for
abfahren von, start from
abfahrshafen, port of departure
abfahrt, departure
abfahrt, descent
abfahrten, departures
abfahrtshafen, port of departure
abfahrtslauf, descent
abfahrtsliste, sailing list
abfahrtstag, sailing date
abfahrtszeit, time of departure
abfall, apostasy
abfallbehälter, bin
abfallbehälter, dust bin
abfalleimer, bin
abfalleimer, dust bin
abfalleimer, trash-can
abfälle, litter
abfallen, apostatize
abfallend, apostatizing
abfallende, deciduously
abfallen, drop away
abfallen, drop down
abfallend, sloping
abfallen, slope
abfallentsorgung, garbage collection
abfälle, refuse
abfall, garbage
abfälligere, more unfavourable
abfälliger, snider
abfällige, snidely
abfälligkeit, snideness
abfällig, snide
abfälligste, most unfavourable
abfallkorb, wastebasket
abfall, litter
abfallpapier, wastepaper
abfallprodukt, by-product
abfallprodukte, waste products
abfallprodukt, waste product
abfallprodukt, waste-product
abfall, refuse
abfall, rubbish
abfall, scrap
abfall, spoilage
abfallstoffe, waste materials
abfall, trash
abfall, wastage
abfall, waste
abfall, waste material
abfallwirtschaftskonzept, concept of waste materials management
abfallzeit, connection timeout
abfallzeit, decay time
abfallþ, spoilage
abfangend, intercepting
abfangend, interceptive
abfangen, intercept
abfangen, interception
abfänger, interceptor
abfärbend, fading
abfassen, compose
abfassend, composing
abfassung, composition
abfaulend, rotting off
abfaulen, rot off
abfeilend, filing off
abfeilen, file off
abfertigend, dispatching
abfertigen, dispatch
abfertigung, dispatch
abfertigungen, dispatches
abfertigungsstelle, dispatch office
abfeuernd, firing off
abfeuern, fire off
abfindung, compensation
abfindung, compensation for loss of office
abfindungen, gratuities
abfindung, golden handshake
abfindung, lum-sum settlement
abfindungserklärung, acceptance of lump-sum settlement
abfindungssumme, sum of acquittance
abfindungssummeþ, sum of acquittance
abfindungsvertrag, termination agreement
abfindungswert, amount payable on settlement
abflachend, levelling
abflachen, flatten
abflachungen, flattenings
abflachung, flat portion
abflauend, waning
abflauen, wane
abfliegende, departing passengers
abfliegende, leaving passengers
abfliegend, taking off
abfliegen, start
abfließend, draining off
abfließen, drain
abfließen, drain off
abfließen lassen, drain
abflüge, takeoffs
abflughalle, departure hall
abfluß, discharge
abfluss, drain
abfluß, drain
abfluss, outflow
abfluß, outflow
abflußrohr, drainpipe
abflußrohr, soil pipe
abflußrohr, waste-pipe
abflußstelle, outlet
abfordernd, demanding
abforstend, deforesting
abforsten, deforest
abforstung, deforestation
abforstungen, deforestations
